overall,asin,reviewText,time,year
5.0,0001713353,"I remember reading my parents' copy of this book until it fell apart. The story still makes me giggle. I just wanted to share it with my kids, who appreciated it even though most of them are teenagers now. The story is light-hearted and silly, but with a very powerful message about learning to live with the problems you have instead of trading them for larger problems.

The artwork is hysterical, too.",2013-10-08,2013
5.0,0001713353,I am very happy with the book!!!  It is one of my children's favorite books and I was so pleased I could order it here!!!,2013-01-12,2013
5.0,0001061240,"I rated this a five because it's the first book I used to introduce my-now 45 year old-son to poetry.  Custard the Magic Dragon was read over and over and he still remembers it to this day.  It's a charming mix of poetry, rhymes and stories in verse.  You'll treasure it for your children-and for yourself. If you can find a copy, get one and enjoy all it has to offer with your kids or by yourself.",2013-10-02,2013
5.0,0001061240,"A must for every home, with or without children. Delightful! Each and every poem is a classic treasure. Wonderful to read out loud.",2013-09-13,2013
5.0,0001061240,"One of my daughters, growing up, also loved this book, which I had had when I was a teenager.  Because she was a bit careless, the cover was destroyed.  It is so great to have a good copy again of this lovely collection which I can now read to my grandchildren.  The Anglund illustrations are, of course, delightful, and many of the selections simply cannot be found anymore, of either the poems or the illustrations.  A priceless book.",2013-08-27,2013
5.0,0001061240,"This is a favorite childhood book of mine.  I hunted it down after getting married in hopes of reading it to my children someday.  It's filled with wonderful classic poems.

It has some funny, witty poems but it doesn't have many of the ""silly"" slapstick style poems that are so common in kids poetry to day.  While some may see that as a liability, I think it's a great thing to expose kiddos to good literature from a young age.  If all kids digest is junk food, they will get fat.  If all they read is silly, slapstick poetry they will have a harder time appreciating classic stuff later on.",2013-03-06,2013
5.0,0001932349,"I love this little book which is wonderful to give as a gift to both adults and children. I already have my own copy but I wanted another to give one as a gift because it expresses in just a few, simple, touching words the way in which we would all like to be cherished,but probably never have been. It always makes me cry. I call it the agnostic's bible!

Clare.",2013-08-10,2013
5.0,0001712799,What A Fun Book for the Grandkids. I'm adding to their Dr. Suess library. A big help for the ones who are learning to read.,2013-11-27,2013
5.0,0001712799,"This is such a great book about all things that go up! I love the illustrations & the rhythm of the rhymes, and so does my two-year-old. It's not too long, either, so she actually pays attention all the way through.",2013-09-06,2013
4.0,0001712799,"Not as great as I remembered it.  It doesn't keep my 2 year old's attention. Maybe when he is older he will like it more,.",2013-09-06,2013
5.0,0001712799,How can it be anything but great?! We all love Dr. Seuss books.  They make great gifts for anyone you know!,2013-06-05,2013
5.0,0001712799,"A classic! I think children of all ages like to read this book, or have it read to them. Not as crazy as some of Dr Seuss's books.",2013-05-23,2013
5.0,0001712799,Dr Seuss books are timeless and we never get tired of reading. I never read this to my children but my gransons are loving it.,2013-05-09,2013
5.0,0001712799,It's Dr. Seuss. what's not to like. A great story that I remember reading as a kid that I am now reading to my child!,2013-04-21,2013
5.0,0001712799,The beginner books by Dr. Seuss are fun and full of ways to teach emerging readers phonemic awareness a basic building block to literacy and a lifelong love of reading.,2013-03-29,2013
5.0,0001712799,"My girls loved this book when they were toddlers and I read it so often that I have most of it memorized.  When I attended a baby shower where the hostess asked us to bring used books, it was my first thought.  My adult children were horrified I would part with our copy, so there was nothing to do but buy a new one.  ""Wake every person, pig and pup, 'til everyone on earth is up!!!""  Great fun for little ones.",2013-01-19,2013
5.0,0002005263,Have read most of Tony Hillerman's novels. I always enjoy his Chee and Leaphorn stories. I wish all of them were available for my Kindle Fire.,2013-12-31,2013
5.0,0002005263,"I really appreciate his writing style and love the twists and turns his stories take.
The last 3 books I have not yet read in paperback I have now read on my kindle.",2013-12-22,2013
5.0,0002005263,"Officer Bernadette Manuelito is a good investigator  intrepid, clever and resourceful. But it's these very qualities that seem to get her in difficulties. Now she's no longer a cop working for Sergeant Chee at Shiprock. Partly to forget Chee, who's failing to get romantic, she takes a job on the Mexican border. There she encounters some shady characters and dicey situations on a mysterious ranch stocked with exotic game animals.

Chee meanwhile is occupied with a mysteriously well-dressed unidentified dead body. Leaphorn too gets involved in this case.  But neither is too busy to worry about Bernie and get involved in her complications.

Bernie gets a quick education on border patrolling, and so do we. There is a wonderfully despicable villain in the plot, and an unexpected hero.

Chee's best friend Cowboy Dashee also plays a role. He's an Apache and prone to poke fun at Navajos, the heredity enemy of his tribe. His quips are always amusing.

The Leaphorn and Chee mysteries are consistently delightful, with clever plots, tense action, engaging characters, terrific atmosphere, and always a fascinating picture of Native American culture in New Mexico.

But I will add that my husband, a fellow Hillerman fan, found this book a bit weak with the contrivance of too many coincidences. I also read in a book by Anne Hillerman that The Sinister Pig gave Hillerman the most trouble of all his books, because he was less familiar with the location. I love these books so much that I'm not critical of the contrivances. But see what you think.",2013-12-21,2013
5.0,0002005263,"You cannot go wrong with a Hillerman novel!  He has created real, sympathetic characters in Leaphorn and Chee, and treats the Navajo culture with respect and affection, and the plots are interesting and engrossing.  Get all the books!  You will not regret it.",2013-12-07,2013
4.0,0002005263,"I thought I'd already read all of Mr. Hillerman's mysteries, but somehow I missed this one. It was up to his usual standards and I enjoyed reading it. Mr. Hillerman's knowledge of and respect for Native American cultures and his thorough research means that I always learn something new.",2013-11-27,2013
5.0,0002005263,"Extremely well written book using all of Tony's characters in a very unique way.  Combining several cultures, geographical areas and plots. Wish this was not his last.  I will miss Tony and hope his daughter continues in his wake.",2013-10-29,2013
5.0,0002005263,Another example of a wonderful experience through a mystery with twists and turns only possible by the pen of a master storyteller. Jim Chee and Joe Leaphorn are like old true friends and I am always excited to look in on their lives and travel with them one more time. Well done.,2013-07-29,2013
3.0,0002005263,Somewhat simple for those of us used to Elizabeth George or le Carre.  Character are flat; location and native american focus interesting.,2013-07-16,2013
4.0,0002005263,This is one of HIllerman's novels that I probably won't be re-reading.  It was good but not at the top of my list.  I did like it better than Finding Moon.,2013-07-15,2013
5.0,0002005263,"Okay, I'm a Hillerman fan. I always enjoy the peeks into southwestern native American culture with a good mystery woven in.",2013-07-07,2013
4.0,0002005263,"a gift to the aging grandma. She enjoys this author very much, what  a bonus to find it in large print.",2013-05-27,2013
5.0,0002005263,"I love Tony Hillerman's novels. He has such a great blend of suspense, humor, and conflicts/resolution of human interaction. He represents the Navajo/Hopi view of the world as it coexists with the mainstream American culture. It's just really enjoyable to settle in with a Tony Hillerman novel.",2013-04-25,2013
5.0,0002005263,"I have ordered many Tony Hillerman books for my mother, so I am basing review on her input.

She absolutely loved both of these books - she has read every one from this author and wished there were more (the author passed away in 2008).

Forever Rest in Peace Tony.",2013-04-25,2013
5.0,0002005263,"I enjoy Hillermans books. He adds twists u don't see coming. I also enjoy the cultural lessons. Good reading, enjoy",2013-03-24,2013
5.0,0002005263,"Hillerman not only takes me back ""home"" with his descriptions of both the Four Corners area of the United States, but also displays wonderful character development that runs true throughout his Navajo mysteries.  I also find the interweaving of the ""sacred"" mythology of the area and the native peoples, brilliant, without comparison.  He honors the people and their ways as well as spinning a wondrous story that keeps the reader tantalized, wanting more!",2013-01-25,2013
5.0,0002005263,"I have the paperback collection of Tony Hillerman's books and pass them around to friends to read.  Since they are not on my shelves all the time, I wanted to acquire the e-book versions in order to have them on hand for me.",2013-01-23,2013
4.0,0002005263,"I like all of the Navajo novels that Tony Hillerman has written.  The characters and the plots and the
vivid descriptions of the land and culture are facinating.",2013-01-09,2013
5.0,0001384198,THIS IS A BOOK THAT I READ TO MY BROTHER YEARS AGO SO NOW I AM READING IT TO MY  GRAND CHILDREN  GOOD SHIPPER,2013-12-23,2013
5.0,0001384198,"Admit it. Every once in a while, a situation arises and you think of the Little Engine That Could...and Did...and you say to yourself ""I think I can...I THINK I can.  And you do. Why not let the next generation learn all about persistence, the easy way.",2013-12-12,2013
5.0,0001384198,This book was purchased for a book a day advent calendar for my grandchildren.  They have enjoyed having it read to them and it is a nice addition to their collection.,2013-12-12,2013
4.0,0001384198,I didn't realize that you could fit this book in your pocket when I bought it but my 2yr old doeasn't seem to mind. It's a great classic no matter the size.,2013-12-12,2013
5.0,0001384198,"I remember this book from my childhood, and ""I think I can, I think I can"" became part of my mental vocabulary.  I am now enjoying very much the opportunity to share that with my kids.",2013-12-09,2013
5.0,0001384198,"My grandson's favorite story--he chants along as I read, ""I think I can, I think I can, I think I can.""  Wonderful way to teach perserverance.  We both like the fact that the little engine makes it to the top and down the other side to the good boys and girls!",2013-12-04,2013
5.0,0001384198,"my son reads to my grandson all the time.  family favorite, I thank you very much. came fast. that is all i have to say",2013-12-04,2013
