overall,asin,reviewText,time,year
5.0,0001061240,Lifetime FAVORITE!,2014-07-28,2014
4.0,0001061240,Its lovely just what my husband was looking for and how he had remembered it,2014-07-24,2014
5.0,0001061240,"I don't know that I can truly explain why I like this book so much. Started reading it to my son and daughter in approx 1960. They loved it and so did I like reading it to them. The Book contains a wonderful collection of poetry of many topics and styles, appealing to from toddlers to adults! I think it is a great family book. Had two more children when the first two were in Middle School. They liked it just as much and now I have given it to their children! Our youngest grandchild wouldn't let her father stop reading it to her in the evening and then demanded permission to take the book to bed. She is only 22 months old.
Somewhere along the line in moving around the book was lost. I just bought it for my husband and me. Love it. Thank you Louis Untermeyer for this collection!",2014-05-31,2014
5.0,0001061240,"I grew up with this poetry book.  I loved it then, I love it now.  Too bad it is out of print.",2014-01-18,2014
5.0,0001712799,Good conditions,2014-12-16,2014
5.0,0001712799,Love it,2014-12-11,2014
5.0,0001712799,Good,2014-11-12,2014
5.0,0001712799,My son loves Dr. Seuss,2014-09-28,2014
5.0,0001712799,"Great story....read it to my kids when they were little, now am reading it to grandchildren.  I will say, however, that the quality of the books is SO much different.  Thin pages compared with our original copy with much sturdier covers and pages.  However, that is a complaint for the manufacturer.....the story and illustrations are the same, and still excellent!",2014-07-06,2014
5.0,0001712799,i am a collector of Dr Seuss books and this has made a great addition to my collection! thank you,2014-06-02,2014
5.0,0002005263,Good!,2014-12-24,2014
5.0,0002005263,Just love Tony hillerman,2014-12-23,2014
5.0,0002005263,"Oh! this was a super thriller.  But, then I have loved every one of Tony Hillerman's Joe Leaphorn/Jim Chee series. Now that he can no longer write more, I'm reading books by authors Aimee and David Thurlo, to whom Hillerman was their mentor. I enjoy getting a peek into the Native American view of life when it gets entangled with Anglo law, etc.",2014-11-25,2014
5.0,0002005263,quick read from the most excellent author. fun,2014-11-17,2014
5.0,0002005263,Best one I've read so far of Hillerman's (#4). I think this might have been his last one.,2014-11-15,2014
5.0,0002005263,Great story all of Hillerman stories are great.,2014-09-30,2014
5.0,0002005263,Great.,2014-09-09,2014
4.0,0002005263,Awesome reading....the scientific premise around Einstein's Time Distortion makes this a very thought provoking book.,2014-08-29,2014
3.0,0002005263,Predictably fun to read.,2014-08-22,2014
4.0,0002005263,"As with all his Chee and Leaphorn novels, Hillerman delivers a clever little mystery sat in the dark southwest that is very worth reading if you like his other books.  There is a conflict between Bernie and Chee over them getting back together after a separation while an enemy lurks in the shadows to cover up a murder for well, you can guess the motive.  I really like his novels since they provide a glimpse into Native American life which I rarely find in other books.  He has a solid and established brand that carries on through generations of readers and novels like this keep the fire burning.  Definitely a wise purchase!",2014-08-22,2014
5.0,0002005263,"I've always enjoyed Tony Hillerman books and this one is no exception.  I love them because the detective mysteries are not predictable, the chance to  learn about the Navajo culture, and the books are safe to read to any of my grandchildren.",2014-08-14,2014
2.0,0002005263,I don't like Hillerman novels.  It was chosen for our book club. .,2014-08-11,2014
5.0,0002005263,"You can never go wrong with a Tony Hillerman book.  So fascinating, intreguing and sharing of the knowledge of the MidWest keeps the little gray cells entertained.  Thank you once again Tony.  Recommended reading ....  top notched.  Fran G.",2014-08-11,2014
4.0,0002005263,good book,2014-08-07,2014
5.0,0002005263,"Tony Hillerman is one of my favorite mystery writers.  I enjoy his two prominent characters, Jim Chee, a young traditional & Joe Leaphorn, the older, but non-traditional Navajo.  Following their adventures as radically different characters is most enjoyable.  Hillerman's descriptions of Arizona's desert country & Navajo culture blend seamlessly into the plots.  Sinister Pig is largely about Bernie Manuelito & her dangerous adventure with the Border Patrol.",2014-08-06,2014
5.0,0002005263,Good,2014-08-03,2014
3.0,0002005263,"Once again Leaphorn and Chee engage in a joint effort to solve a crime, and rescue a damsel in distress! This time, Chee finally gets the girl! This tale starts of rather obliquely with the death of an unidentified man seemingly unconnected to the new border patrol job acquired by Officer Bernie Manuelito. The plot unfolds rather rapidly after Bernie's picture shows up in some bad places in Mexico. Actually, the plot unfolds too rapidly and takes away the mystery usually captured in Hillerman tales. However, the reader will enjoy an ending that hints of more adventures to come by a new two-some.",2014-07-28,2014
