overall,asin,reviewText,time,year
5.0,0001713353,Great!,2015-01-18,2015
5.0,0001061240,This was a wonderful book so I got it as a gift for my niece. It's a very thick book full of different poems on many topics. You will be able to find many that you love.,2015-07-27,2015
2.0,0001061240,"Looking for a Louis Untermeyer book  from the 1980s and this was not the one,",2015-03-01,2015
5.0,0001712799,"A delightful first time reader book, with delightful photos and repetition.",2015-05-29,2015
5.0,0001712799,Another generation with this story of Dr. Seuss.,2015-04-18,2015
5.0,0001712799,Good book and has my 1year old loves it since her favorite word is up.,2015-01-18,2015
5.0,0002005263,Hillerman is always good.,2015-09-10,2015
3.0,0002005263,Good background. Interesting premise that is believable. My only complaint about all of the Hillerman stories is the endings. The hero always has a miraculous escape. You can count on it.,2015-09-08,2015
5.0,0002005263,"Like all Tony Hillerman books the story caught you in a web of unanswered questions and great characters. He mixes in a tremendous knowledge of the Navajo traditions and spiritual beliefs.you get a story that keeps you guessing, you can't wait to reach the end, but, when you do you wish for much, much more, Try one of his 18 Navajo mysteries and I think you'll be hooked. Enjoy!!",2015-07-09,2015
5.0,0002005263,"I have loved reading tiny Hillerman novels. The books are a ""you can't put down""  type. Hope to read all his books",2015-05-29,2015
5.0,0002005263,another great novel featuring life from the Native American prospective,2015-05-12,2015
5.0,0002005263,Features the moment Chee realizes he loves Bernie. If you are a fan of this series its a big Yeah!!,2015-05-08,2015
5.0,0002005263,Great. Just what you'd expect from a Tony Hillerman book.,2015-04-10,2015
5.0,0002005263,Excellent writing by Hillerman!,2015-04-09,2015
5.0,0002005263,Cant say enough good about this.,2015-03-25,2015
5.0,0002005263,"Having toured the four corners five years ago, I find his books even more enjoyable. This was another good read with an excellent plot.",2015-03-07,2015
5.0,0002005263,"Great author, well written books.  A great read",2015-02-11,2015
5.0,0002005263,Great story in the Hillerman tradition.,2015-01-28,2015
5.0,0002005263,Can't get enough of Tony Hillerman,2015-01-28,2015
1.0,0001384198,"When they say mini, they mean it.  This book is so small.  I made it work my giving it to my daughter from her elf on the shelf.",2015-12-27,2015
5.0,0001384198,Christmas present,2015-12-26,2015
5.0,0001384198,"This was a child's gift. I read this when I was a little kid, I don't think you could go wrong with this book.",2015-12-22,2015
5.0,0001384198,"This is a magnificently printed and profusely illustrated edition of one of the true children's classics.  Don't be fooled by other abridged editions or flimsy books -- this is an item that can be passed down from one generation to the next. When the publisher calls it the ""deluxe"" edition, they are being accurate.",2015-12-15,2015
5.0,0001384198,"This book is a classic and kids love it to this day.  My grandson, who is obsessed with trains, was very excited to receive it.",2015-12-08,2015
5.0,0001384198,Wonderful stories for children.,2015-12-02,2015
5.0,0001384198,Excellent addition to my collection of children's books!,2015-11-19,2015
5.0,0001384198,Nice.,2015-11-13,2015
5.0,0001384198,Always the best,2015-11-10,2015
4.0,0001384198,"This is a tiny tiny book, but very cute and great for travel.",2015-11-09,2015
3.0,0001384198,It's an ok book. It is very small!!!!!! I wish it was a normal size book.,2015-11-09,2015
