overall,asin,reviewText,time,year
4.0,0001384198,Enjoyed it with my grandchildren.,2018-04-11,2018
5.0,0001384198,My grandson loves it.,2018-04-10,2018
5.0,0001384198,Enjoyed this story as a child (I'm now 71) so thought our almost-here Great Nephew would love them as well.,2018-04-09,2018
5.0,0001384198,"my favorite book as a child, now in a nice new edition, love this!  so do my grandchildren!",2018-03-31,2018
5.0,0001384198,Mom and Pop read it to my godson at bedtime. He loves it!,2018-03-21,2018
5.0,0001384198,One of my favorite books from childhood and Im sharing it with my grandbabies. The artwork is colorful.,2018-03-15,2018
5.0,0001384198,"I am so glad Amazon had this version of The Little Engine That Could book. Also was happy to have it in hardcover. I wasn't sure at first if my almost 4 yr. old would like the old fashioned looking pictures but she was very excited pointing to all the animals, toys, trains and clown as I was reading the book to her. I would definitely recommend buying  this classic book  for  any child 5 and under.",2018-03-14,2018
5.0,0001384198,Grandson loves it,2018-03-10,2018
5.0,0001384198,"This story is good way to teach children the importance of helping others and believing in yourself.  The other engines reminded of the Good Samaritan story from the Bible because the first two engines said they were important, but they didn't help the little train at all.  The little blue engine was just like the Samaritan because she was the one who helped the train get on the way.",2018-03-07,2018
5.0,0001384198,classic!,2018-03-01,2018
5.0,0001384198,This is my favorite childhood book.  It has a great message for kids about the power of believing in yourself.,2018-02-21,2018
3.0,0001384198,Was it always a girl train? I feel I remember the story differently as a kid,2018-01-25,2018
5.0,0001384198,"A classic!
Should last through several kids!",2018-01-24,2018
5.0,0001384198,This was my favorite as a child. I just wish it was available as a board book,2018-01-23,2018
5.0,0001384198,good,2018-01-09,2018
5.0,0001384198,every kid needs this. WORKs for adults too.,2018-01-01,2018
5.0,0001381733,Gyo Fujikawa is my favorite illustrator of this collection of poems by Robert Louis Stevenson.,2018-03-04,2018
5.0,0001381733,"A Child's Garden of Verses is a childhood staple that should be in every child's home library.  I purchased the hardback illustrated by Gyo Fujikawa, one of my favorite children's illustrators.  The book is large and the illustrations are charming.  There are a variety of full color and black and white illustrations.  The poor reviews for the paperback version of this book made me nervous, but don't worry about ordering this hardbound Gyo Fujikawa illustrated edition.  I ordered it for my niece's birthday and can't wait to give it to her!  My own kids are begging  to read it before it gets gifted :)",2018-02-27,2018
5.0,0001381733,Beautiful book!  Bought for a baby shower.,2018-01-15,2018
5.0,0001720392,My son loves this book. Tries to read it on his own.,2018-04-04,2018
5.0,0001720392,Great book.,2018-04-02,2018
5.0,0001720392,"I do like green eggs and ham, but it is a little long so I decided to order the book with the cd so that my kids can listen to it whenever they want on their little cd player. This also came in handy when I got the flu and couldn't read to them. They enjoyed this book and followed along with the cd. The notification to turn the page is subtle and not a loud ""ding"".",2018-03-28,2018
1.0,0001720392,I love that its a board book but I don't like that its a flap book. My daughter will just want to rip the flaps off.,2018-03-26,2018
5.0,0001720392,Cant get better than this classic. There are many flaps on each page for kids to interact with. This book is super durable and has a page of stickers at the end to place in the story if wanted.,2018-03-26,2018
5.0,0001720392,Granddaughter loves this book.,2018-03-20,2018
5.0,0001720392,Classic book. Beautifully illustrated. Can't go wrong with this.,2018-03-19,2018
5.0,0001720392,Great children's book,2018-03-19,2018
5.0,0001720392,great shower gift,2018-03-18,2018
5.0,0001720392,Kids love this book!  My class celebrated by eating 'green' eggs and ham.,2018-03-06,2018
5.0,0001720392,It's a birthday gift for my granddaughter who's  learning to read.  I can't  wait for her to open it.,2018-02-27,2018
3.0,0001720392,This is a good book for toddlers. Decent size but I don't like how much of the original story is cut.,2018-02-23,2018
5.0,0001720392,Always good,2018-02-21,2018
5.0,0001720392,great book good price,2018-02-20,2018
2.0,0001720392,"Boring, my son does not like it",2018-02-14,2018
5.0,0001720392,Love Dr. Seuss.  A classic,2018-02-11,2018
5.0,0001720392,I read it to my children and now I read it to my grandchildren. It's great!,2018-02-08,2018
5.0,0001720392,Just another book by Dr Seuss to add to my grandsons collection and he loves it!,2018-02-01,2018
5.0,0001720392,Great item. Very well made. Packaged securely. Happy. Will buy again.,2018-01-26,2018
5.0,0001720392,thanks,2018-01-26,2018
5.0,0001720392,"As advertised, good for the price. As with all Dr. Seuss, can't go wrong!",2018-01-15,2018
5.0,0001720392,"Dr. Seuss,  Got to have it for your kiddos.  Read to them every night.  Enjoy the simple things of life.  This book is one of those simple things of life.",2018-01-14,2018
5.0,0001720392,Family favorite!,2018-01-14,2018
5.0,0001720392,Our favorite Dr. Seuss book that we gave to our granddaughter as a gift.,2018-01-11,2018
5.0,0001720392,Kids liked it.,2018-01-10,2018
5.0,0001720392,A classic. Love this book.,2018-01-10,2018
5.0,0001720392,My young nephew told me months ago that this book was his favorite but he didn't have it. I gave him his own copy and he stopped what he was doing to read it!,2018-01-01,2018
5.0,0001046519,Never saw the play itself; found the reading of it to be remarkably funny.,2018-02-06,2018
5.0,0001046519,great,2018-01-23,2018
5.0,0001046519,"Hilarious, highly recommend!",2018-01-18,2018
5.0,0001046519,"This was funny! The writing is sharp and witty, the characters are relatable but humorous, and the plot just had me laughing in suspense. Great read!",2018-01-17,2018
5.0,0001046519,This play completely cracked me up.  I couldn't stop laughing. It is timeless.,2018-01-12,2018
5.0,0001046519,"enjoyed a classic, again.",2018-01-11,2018
5.0,0001713205,Excellent,2018-01-27,2018
5.0,0001713205,Great book !!! My Grandson loves Reading it,2018-01-25,2018
5.0,0001713205,We got this book for our children and they loved it.  It is an excellent book.,2018-01-09,2018
5.0,0001713205,This was one of my favorite Dr. Seuss books! The story shows the chain of events one little incident can have. I also told my students about the importance of bugs and how they effect the world. Really fun book! My kinder students loved it.,2018-01-02,2018
5.0,0001713205,Nice book for toddlers.,2018-01-02,2018
5.0,0001950061,"Dr. Seuss, always teaching us great lessons through imaginary worlds and silly rhymes. Do yourself a favor and get every book he wrote!",2018-01-19,2018
5.0,0001950061,Really makes you think. Great for school discussions.,2018-01-17,2018
5.0,0002051850,"This should be read at least once by all men, and all those who hope to become a man someday.",2018-03-19,2018
5.0,0002051850,good,2018-03-17,2018
5.0,0002051850,"One of the all time greatest war books. A nuanced, beautiful view of life under threat of destruction.",2018-03-12,2018
2.0,0002051850,"I am obviously not a Hemingway fan. I did not get the character development that would keep me engaged and the stilted dialog did not do for me what I believe the author intended. The time period is the Spanish Civil War and I believe Hemingway was trying to let the reader know the dialog was in Spanish and we were ""reading the subtitles"" or something of the sort. There was considerable repetition of non-essentials that I found terribly boring. This was a book I was reading for my book club and left for vacation before I could check it out at my local library so I borrowed one from the library in the town where we stayed and then ordered this when I got home. I got about half-way through and just couldn't make myself read any more.",2018-02-27,2018
5.0,0002051850,"This classic was a Christmas present,and was thoroughly enjoyed.",2018-01-29,2018
5.0,0002051850,"Very good novel, and well written",2018-01-29,2018
5.0,0002051850,Great book.  I enjoyed reading this.  Very well written and has withstood the test of time.  Still a great read in 2018.,2018-01-17,2018
