overall,asin,reviewText,time,year
5.0,0002005263,happy,2017-07-23,2017
5.0,0002005263,"I chose this rating because I could not consider a lower rating for a Tony Hillerman novel. It is a perfect blend of mystery, folklore and culture. It seems that I  have been reading these books for a good part of my 71 years. Now that I  have discovered Anne Hillerman novels I will be reading Leaphorn and Chee stories for the foreseeable future.",2017-06-26,2017
5.0,0002005263,Glad to have Hillerman on CD so I can enjoy the book on my travels.,2017-06-12,2017
5.0,0002005263,"Tony Hillerman was adept in his portrayals of the Navaho police, the scenery, & his plots are zesty. The book was from a Library, in almost pristine condition. Arrived very fast. Am heartily enjoying right now.",2017-05-20,2017
5.0,0002005263,This has been one of the MOST captivating and intriguing of Hillerman's books yet!,2017-05-02,2017
5.0,0001384198,Really lovely book!,2017-12-18,2017
5.0,0001384198,We all love the classics.,2017-12-18,2017
5.0,0001384198,great,2017-12-09,2017
5.0,0001384198,A very nice replica of the original classic.,2017-12-03,2017
5.0,0001384198,Great book!,2017-12-01,2017
5.0,0001384198,Great,2017-11-10,2017
5.0,0001384198,I think I can! I think I can! I think I can recommend this book as a classic that should be in the library of every young child!,2017-10-31,2017
5.0,0001384198,This is a very cute little story that young children will enjoy. I definitely recommend purchasing this book for the child in your life. I purchased this for my young nephew and he really enjoyed it.,2017-10-28,2017
5.0,0001384198,Perfect story to help illustrate the 7 Habbits!,2017-10-08,2017
5.0,0001384198,Oldtime favorite,2017-09-29,2017
5.0,0001384198,Childhood favorite my grand enjoy,2017-09-28,2017
5.0,0001384198,I love it,2017-09-06,2017
5.0,0001384198,Just exactly the book that I wanted and illustrated beautifully! I recommend it for kids of all ages!,2017-09-02,2017
5.0,0001384198,"This is a beautiful book - lovely illustrations with the classic, inspirational story.  I always give this along with other baby gift items.  This story has been the most inspirational little piece of ""literature"" for me all of my life.",2017-08-25,2017
5.0,0001384198,Classic for every child,2017-08-21,2017
5.0,0001384198,Highly entertaining and apolitical.,2017-08-15,2017
5.0,0001384198,Ordered two of these for my great grandchildren. My kids loved this book.,2017-08-13,2017
5.0,0001384198,GREAT BOOK,2017-08-11,2017
5.0,0001384198,My 3-year old granddaughter loves this book.  Timeless book illustrated beautifully for e-book format. That's the one she wants again & again!,2017-08-07,2017
5.0,0001384198,Good,2017-07-24,2017
5.0,0001384198,I remembered this from my childhood.  I loved it then and got it for a friend with deslexyia.  We'll start easy and workour way up!,2017-07-21,2017
5.0,0001384198,after all these years it is still a favorite,2017-07-21,2017
5.0,0001384198,BEST classic,2017-07-17,2017
3.0,0001384198,"I didn't realize this is a mini booklet , when I ordered it I thought it was the regular sized book, but other than that it is very interesting , my 4 and 6 year old boys love it",2017-06-20,2017
5.0,0001384198,What can one say bad about the little engine that could?! You should do it!,2017-06-16,2017
5.0,0001384198,"Sadly someone thought it was a good idea to cut the books story in half and redo the art.

This is NOT that book.",2017-06-10,2017
5.0,0001384198,Such a great book! Classic and must have for your little one's collection. My son especially loves trains so this is definitely one of his favorites. My son tends to get frustrated easily and wants to give up without trying a few times often and my husband and I always love how this book teaches kids to keep trying and believe in themselves. We always loved it as a kid and now our little ones get to enjoy it as well. Highly recommend.,2017-06-01,2017
4.0,0001384198,Like it,2017-05-31,2017
5.0,0001384198,Wonderful Classic. All kids need to read it at some point to learn about the power perseverance,2017-05-22,2017
5.0,0001384198,Loved it!,2017-05-18,2017
5.0,0001384198,This was a favorite when my children were little so I bought it for my grandson.  Nice story and the book is a good addition to any kid's library.,2017-05-13,2017
5.0,0001384198,"Cute Ebook! I got it for PreK, it's a little wordy so probably something better suited for K-2, but overall they enjoyed it.",2017-05-08,2017
5.0,0001384198,Timeless story for every child!,2017-05-04,2017
5.0,0001384198,Classic.,2017-05-02,2017
5.0,0001384198,"Good story.  Persevere and find grit within yourself to get what needs to be done, done.",2017-04-24,2017
5.0,0001384198,I love the illustrations and is such a classic tale!!,2017-04-18,2017
1.0,0001384198,"The story I remember had a train that struggled up the mountain but through perseverance and determination, finally made it.  This story is about some toys whose train broke down and ask other trains to help them, but most other trains do not because they don't pull lowly toys.  This story sucks.",2017-04-10,2017
5.0,0001384198,"classic great book on power of positive ""I think I can""",2017-04-10,2017
5.0,0001384198,A classic that never get's old. A must for EVERY young reader.,2017-04-07,2017
3.0,0001384198,"The story doesn't make a lot of sense, and seems like it might be abridged from the one I remember from childhood. Disappointing.",2017-04-04,2017
5.0,0001384198,Great gift...,2017-02-25,2017
5.0,0001384198,This is a great classic and one of our children's favorites.,2017-02-23,2017
5.0,0001384198,"A family favorite! My children loved it, and now my grandchildren love it too!",2017-02-17,2017
5.0,0001384198,most favorite book ever.,2017-02-15,2017
5.0,0001384198,classic,2017-01-23,2017
3.0,0001384198,This book is a classic but it is TINY.  It's the size of my husbands palm!,2017-01-20,2017
1.0,0001384198,Way way way smaller than I expected. It's like a tiny book that came out of a cereal box as a prize,2017-01-19,2017
1.0,0001384198,I bought this for a 5 year old boy who LOVES trains and I could just seen him wanting this read over and over again!,2017-01-17,2017
5.0,0001384198,A+++,2017-01-16,2017
5.0,0001384198,Very good book,2017-01-13,2017
5.0,0001384198,This was my favorite book and now it's a favorite for the 3 year old grand baby.,2017-01-11,2017
5.0,0001384198,Classic!,2017-01-10,2017
